,Text,Label
1,adalah    arti,bukan frasa
2,adalah    melakukan,bukan frasa
3,adalah    pada,bukan frasa
4,adalah    sebuah,bukan frasa
5,agar    dua,bukan frasa
6,antar    komputer,frasa
7,antara    lain,bukan frasa
8,aplikasi    atau,bukan frasa
9,area    network,frasa
10,arsitektur    jaringan,frasa
11,arsitekturnya    sama,frasa
12,arti    utama,bukan frasa
13,atau    jaringan,bukan frasa
14,atau    lebih,bukan frasa
15,atau    software,bukan frasa
16,bahasa    inggris,frasa
17,benar kadang kala    kata,bukan frasa
18,berbeda    dapat,bukan frasa
19,berbeda    host,frasa
20,berbeda    jadi,bukan frasa
21,berbeda    pengartian,bukan frasa
22,berbeda    sehingga,bukan frasa
23,berbedabeda    salah,bukan frasa
24,bergeser    tidak,bukan frasa
25,berkomunikasi    gateway,frasa
26,besar    dengan,bukan frasa
27,besar    lainnya,bukan frasa
28,besarnistilah    gateway,bukan frasa
29,bisa    diartikan,bukan frasa
30,bridgengateway    dapat,bukan frasa
31,buah    jaringan,frasa
32,buah    network,frasa
33,contoh    penggunaan,frasa
34,converting    agar,bukan frasa
35,dalam    jaringan,frasa
36,dapat    berkomunikasi,frasa
37,dapat    dialirhantarkan,frasa
38,dapat    diaplikasikan,frasa
39,dapat    dilakukan,frasa
40,dapat    ditransfer,frasa
41,dari    satu,bukan frasa
42,daripada    bridge gateway,bukan frasa
43,data    dapat,bukan frasa
44,dengan    digital,frasa
45,dengan    jaringan,frasa
46,dengan    kaidah,frasa
47,dengan    merebaknya,bukan frasa
48,dengan    penghala,bukan frasa
49,dengan    satu,bukan frasa
50,dengan    wan wide,frasa
51,di    tingkat,bukan frasa
52,dialirhantarkan    ke,bukan frasa
53,diaplikasikan    antara,bukan frasa
54,diartikan    sebagai,bukan frasa
55,digital    dna,bukan frasa
56,digunakan    untuk,bukan frasa
57,dilakukan    pada,bukan frasa
58,dipergunakan    untuk,bukan frasa
59,ditransfer    antar,bukan frasa
60,dna    lan,bukan frasa
61,dua    aplikasi,frasa
62,dua    arsitektur,frasa
63,dua    jenis,frasa
64,email    dapat,bukan frasa
65,email    sehingga,bukan frasa
66,fungsi    poko,frasa
67,gateway    adalah,bukan frasa
68,gateway    juga,bukan frasa
69,gateway    lebih,bukan frasa
70,gateway    merujuk,bukan frasa
71,gerbang    jaringan,frasa
72,gerbang    jaringannseiring,bukan frasa
73,hal    ini,bukan frasa
74,hanya    terjadi,bukan frasa
75,hardware    atau,bukan frasa
76,host    yang,bukan frasa
77,ibm    sna,bukan frasa
78,informasi    dari,bukan frasa
79,inggris    gateway,frasa
80,ini    muncul,bukan frasa
81,interface    untuk,bukan frasa
82,internet    pengartian,bukan frasa
83,istilah    gerbang,frasa
84,jadi    gateway,bukan frasa
85,jarang    pula,bukan frasa
86,jaringan    atau,bukan frasa
87,jaringan    bahasa,frasa
88,jaringan    berbeda,frasa
89,jaringan    dari,bukan frasa
90,jaringan    dengan,bukan frasa
91,jaringan    digunakan,bukan frasa
92,jaringan    ke,bukan frasa
93,jaringan    komputer,frasa
94,jaringan    lain,frasa
95,jaringan    sering,bukan frasa
96,jaringan    yang,bukan frasa
97,jaringannseiring    dengan,bukan frasa
98,jenis    jaringan,frasa
99,juga    bisa,bukan frasa
100,juga    digunakan,bukan frasa
101,kaidah    jaringan,frasa
102,kaidah    komunikasi,frasa
103,kali    bergeser,bukan frasa
104,kali    perbedaan,bukan frasa
105,karena    kerap,bukan frasa
106,kata    gerbang,frasa
107,ke    jaringan,frasa
108,ke    protokol,frasa
109,kepada    hardware,frasa
110,kerap    kali,bukan frasa
111,kompatibel    sehingga,bukan frasa
112,kompleks    daripada,bukan frasa
113,komputer    besar,frasa
114,komputer    dapat,bukan frasa
115,komputer    dengan,bukan frasa
116,komputer    hanya,bukan frasa
117,komputer    yang,bukan frasa
118,komunikasi    dalam,bukan frasa
119,komunikasi    yang,bukan frasa
120,lain    dengan,bukan frasa
121,lain    dipergunakan,bukan frasa
122,lain    juga,bukan frasa
123,lain    untuk,bukan frasa
124,lainnya    hal,bukan frasa
125,lalu    lintas,frasa
126,lan    local,bukan frasa
127,lebih    jaringan,bukan frasa
